,Titles,Total Words,Unique Words
0,A Dark Night's Work,33494,6266
1,Cranford,33281,7021
2,Mary Barton,84552,10425
3,My Lady Ludlow,35421,6978
4,North and South,84889,11676
5,Ruth,81049,9835
6,Sylvia's Lovers,96870,11900
7,Wives and Daughters,139209,12037
