,Titles,Number of Characters
0,A Connecticut Yankee,227
1,A Horse Tale,66
2,Personal Recollections of Joan of Arc,155
3,The Adventures of Tom Sawyer,132
4,The American Claimant,169
5,The Gilded Age,422
6,The Mysterious Stranger,56
7,The Prince and the Pauper,149
8,The Tragedy of Pudd’nhead Wilson,154
9,Tom Sawyer Abroad,70
10,Tom Sawyer Detective,60
