,Titles,Number of Locations
0,A Son at the Front,113
1,Summer,26
2,The Age of Innocence,118
3,The Children,77
4,The Custom of the Country,106
5,The Fruit of the Tree,56
6,The Glimpses of the Moon,97
7,The House of Mirth,53
8,The Mother Recompense,54
9,The Reef,45
10,The Valley of Decision,145
11,Twilight Sleep,68
