,Titles,Number of Locations
0,A Christmas Carol,7
1,A Tale of Two Cities,59
2,Barnaby Rudge,72
3,Bleak House,122
4,David Copperfield,113
5,Dombey and Son,98
6,Great Expectations,75
7,Hard Times,34
8,Little Dorrit,127
9,Martin Chuzzlewit,88
10,Nicholas Nickleby,93
11,Old Curiosity,34
12,Oliver Twist,53
13,Our Mutual Friend,121
14,The Battle of Life,8
15,The Chimes,5
16,The Cricket,6
17,The Haunted Man,11
18,The Pickwick Papers,101
