,Titles,Year
0,A Dark Night's Work,1863
1,Cranford,1853
2,Mary Barton,1848
3,My Lady Ludlow,1859
4,North and South,1855
5,Ruth,1853
6,Sylvia's Lovers,1863
7,Wives and Daughters,1866
