,Titles,Year
0,A Connecticut Yankee,1889
1,A Horse’s Tale,1907
2,Personal Recollections of Joan of Arc,1896
3,The Adventures of Tom Sawyer,1876
4,The American Claimant,1892
5,The Gilded Age,1873
6,The Mysterious Stranger,1916
7,The Prince and the Pauper,1881
8,The Tragedy of Pudd’nhead Wilson,1894
9,Tom Sawyer Abroad,1894
10,"Tom Sawyer, Detective",1896
