,Titles,Year
0,A Son at the Front,1923
1,Summer,1917
2,The Age of Innocence,1920
3,The Children,1928
4,The Custom of the Country,1913
5,The Fruit of the Tree,1907
6,The Glimpses of the Moon,1922
7,The House of Mirth,1905
8,The Mother's Recompense,1925
9,The Reef,1912
10,The Valley of Decision,1902
11,Twilight Sleep,1927
